State,count,mean,median,standard_deviation,minimum,maximum,q10,q25,q75,q90,q95,q99,iqr,mean_median_ratio
IN,3968,263.5207997311828,59.45,8445.113580623478,11.2,526835.4833333333,29.4,29.8,118.525,300.36500000000024,360.0,445.7561666666646,88.72500000000001,4.432645916420232
KS,1193,157.9321458507963,75.38333333333334,386.9670916556806,6.0,10800.0,29.4,33.5,134.33333333333334,360.0,360.0,1485.2606666666666,100.83333333333334,2.0950538914542953
KY,2072,152.70661196911195,45.0,2219.474316540236,11.5,73086.0,29.3,29.683333333333334,76.08333333333333,203.85500000000008,360.0,360.0,46.39999999999999,3.3934802659802656
LA,8772,12598.937332801337,64.19166666666666,79973.46018093782,10.916666666666666,527173.0,29.533333333333335,29.883333333333333,115.5,239.64000000000007,1518.1299999999999,525705.0,85.61666666666667,196.27060624901475
MA,3886,64.00150540401441,44.95,68.31170002921924,14.5,1058.1833333333334,29.35,29.716666666666665,62.420833333333334,94.90833333333333,158.89583333333331,360.0,32.704166666666666,1.423837717553157
MD,8069,112.91918866443591,76.53333333333333,203.2924504360165,6.0,11082.916666666666,29.333333333333332,34.96666666666667,124.9,297.96666666666664,360.0,477.1866666666665,89.93333333333334,1.4754249389952427
ME,202,153.77211221122113,59.65833333333333,175.81505626966398,16.0,1485.0,29.266666666666666,29.5375,360.0,360.0,360.0,360.0,330.4625,2.577546230667207
MI,9776,96.85684328968904,44.766666666666666,528.6076517421589,6.5,37093.21666666667,29.4,29.75,92.23333333333333,225.96666666666667,360.0,360.0,62.483333333333334,2.1635929253095094
MN,11026,122.95135286293005,76.98333333333333,1025.2828069760485,6.0,84692.83333333333,29.466666666666665,38.962500000000006,122.28333333333333,194.16666666666666,360.0,360.85416666666663,83.32083333333333,1.597116512616541
MO,4513,112.92990988994757,69.0,246.09454398099348,4.0,10227.033333333333,29.416666666666668,30.0,104.73333333333333,360.0,360.0,360.0,74.73333333333333,1.6366653607238777
MS,885,127.70092278719397,64.7,346.22091871124366,7.5,7860.0,29.423333333333336,29.75,114.08333333333333,360.0,360.0,750.242666666666,84.33333333333333,1.9737391466336007
MT,1440,265.0542361111111,96.0,1106.5154068413879,9.0,27592.95,43.400000000000006,77.55,162.32500000000002,360.0,1490.3533333333332,1689.2796666666636,84.77500000000002,2.7609816261574074
NC,19864,106.84491626392804,60.0,155.8802498283079,7.0,10903.383333333333,29.566666666666666,29.85,121.4375,240.0,360.0,701.6899999999997,91.5875,1.7807486043988008
ND,190,115.31929824561404,101.28333333333333,54.65495063701516,13.5,480.0,75.0,75.01666666666667,162.625,175.10166666666666,180.1275,190.7019999999999,87.60833333333333,1.138581190511246
NE,1854,137.34756382596188,44.5,2537.857442474406,12.383333333333333,109081.88333333333,29.5,29.766666666666666,59.75,104.55333333333334,239.36749999999984,1485.05,29.983333333333334,3.0864621084485817
NH,631,127.20993132593766,59.61666666666667,145.690113691667,11.483333333333333,1439.0,29.383333333333333,29.7,176.39166666666668,360.0,360.0,405.10333333333347,146.6916666666667,2.13379812120667
NJ,7935,251.29332913253518,75.58333333333333,11674.260800200365,7.0,1039752.0833333334,29.35,30.0,131.775,360.0,360.0,533.1623333333318,101.775,3.3247187977843686
NM,605,102.99112947658402,48.06666666666667,143.0249007432823,11.0,1503.8166666666666,29.35,29.716666666666665,93.01666666666667,288.5666666666667,360.0,616.0,63.3,2.1426725966002222
NV,1223,1447.4330198964294,75.06666666666666,45128.79734446658,10.0,1578299.5666666667,29.533333333333335,35.0,148.375,360.0,360.0,1283.6133333333305,113.375,19.28196740536984
NY,20101,368.1120823176293,64.96666666666667,22455.142616524827,5.0,2236405.75,29.45,30.0,127.26666666666667,287.71666666666664,360.0,761.1166666666667,97.26666666666667,5.6661685323390865
OH,7204,244.32717471774941,51.95,6212.235290822855,10.0,338600.6666666667,29.433333333333334,29.816666666666666,89.15416666666667,360.0,360.0,407.76000000000204,59.337500000000006,4.703121746251192
