Feature,Mean_Absolute_SHAP_Impact
emb_135,0.00010696044
emb_295,0.00010555509
emb_49,0.00010418013
emb_158,0.00010400026
emb_63,0.00010205263
emb_207,0.00010090134
emb_244,9.83606e-05
emb_273,9.802171e-05
emb_126,9.639244e-05
emb_154,9.542921e-05
emb_331,9.4961935e-05
emb_183,9.4025265e-05
emb_132,9.095549e-05
emb_155,9.046803e-05
emb_245,9.0156485e-05
emb_214,8.9533605e-05
emb_221,8.809333e-05
emb_348,8.693988e-05
emb_37,8.689617e-05
emb_228,8.461397e-05
emb_289,8.3706786e-05
emb_11,8.3683684e-05
emb_248,8.365478e-05
emb_324,8.318201e-05
emb_19,8.1985854e-05
emb_51,8.170746e-05
emb_120,8.0522965e-05
emb_236,8.01764e-05
emb_113,7.9194695e-05
emb_377,7.867654e-05
emb_188,7.829923e-05
emb_375,7.7938486e-05
emb_306,7.719565e-05
emb_70,7.715589e-05
emb_382,7.676214e-05
emb_33,7.5951815e-05
emb_145,7.3852156e-05
emb_179,7.223948e-05
emb_143,7.209865e-05
emb_308,7.193041e-05
emb_184,7.154145e-05
emb_109,7.115149e-05
emb_10,6.8603105e-05
emb_180,6.7819405e-05
emb_20,6.661314e-05
emb_50,6.6154294e-05
emb_251,6.354061e-05
emb_194,6.0530365e-05
emb_71,5.86668e-05
emb_296,5.8006604e-05
emb_114,5.7491423e-05
emb_291,5.591136e-05
emb_234,5.4788317e-05
Visibility(mi),5.1300503e-05
emb_177,4.570693e-05
emb_23,4.4120603e-05
emb_352,4.398872e-05
emb_147,4.0965246e-05
emb_281,3.8118527e-05
emb_268,3.6999216e-05
emb_363,3.364136e-05
emb_376,3.022433e-05
is_secondary_crash,2.9606364e-05
emb_32,2.8762492e-05
emb_380,2.8183158e-05
rollover,2.6233793e-05
emb_311,2.3765197e-05
emb_150,2.1423113e-05
emb_128,2.1041404e-05
emb_329,1.3468329e-05
emb_357,5.27853e-06
lanes_blocked,2.1614826e-06
injury,0.0
debris,0.0
specialized_recovery_required,0.0
full_road_blockage,0.0
spill,0.0
incident_type,0.0
fire,0.0
gate_q_semantic_density,0.0
hazardous_material,0.0
disabled_vehicle,0.0
ramp_involvement,0.0
heavy_vehicle,0.0
emergency_response_mentioned,0.0
uncertainty_language,0.0
gate_q_tabular,0.0
